set_name,set_topic,set_id,question_type,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,created_at
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,The government decided to _____ new regulations to _____ the growing concerns about environmental pollution.,issue; address,address; issue,issue; conduct,charge; address,A,Issue = phát hành (regulations); address = giải quyết (concerns). Đáp án B sai vì đảo ngược nghĩa. C sai vì conduct không phù hợp ngữ cảnh. D sai vì charge không có nghĩa phát hành.,2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,"The company was _____ a high fee for the service, but the workers decided to _____ over wage disputes.",charged; strike,charged; run,conducted; strike,issued; strike,A,Charged = tính tiền; strike = đình công. B sai vì run không có nghĩa đình công. C sai vì conducted không phù hợp. D sai vì issued không có nghĩa tính tiền.,2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,basic,The scientist will _____ an experiment to _____ whether the new theory is correct.,conduct; bear,conduct; test,run; conduct,charge; present,B,Conduct = tiến hành; test = kiểm tra (từ đồng nghĩa). A sai vì bear không phù hợp. C sai vì đảo ngược. D sai vì charge không phù hợp.,2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,"The company must _____ the costs of the accident, and the report will _____ all relevant details.",bear; cover,charge; address,run; present,stand; mark,A,"Bear = chịu (chi phí); cover = đề cập, bao gồm. B sai vì charge không có nghĩa chịu chi phí. C sai vì run không phù hợp. D sai vì stand không phù hợp.",2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,basic,"The factory _____ three shifts daily, and this schedule will _____ until the end of the year.",runs; run,conducts; stand,operates; run,charges; bear,A,Run = điều hành (shifts); run = kéo dài (schedule). C cũng đúng về nghĩa nhưng A tự nhiên hơn. B sai vì stand không phù hợp.,2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,"The athlete _____ the world record, while the company _____ its contract with the supplier.",broke; broke,marked; covered,struck; charged,drew; filed,A,Break = phá vỡ (kỷ lục); break = vi phạm (hợp đồng). Cùng một từ nhưng hai nghĩa khác nhau. B sai vì marked không có nghĩa phá vỡ kỷ lục.,2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,"The artist _____ inspiration from nature, while the lottery _____ attracted millions of participants.",drew; draw,drew; drawing,drew; drew,marked; drew,B,"Drew = hút, hấp dẫn (inspiration); draw = rút thăm (danh từ). B đúng vì 'lottery draw' là cụm danh từ. A sai vì 'lottery draw' không phải động từ. C sai vì nghĩa không phù hợp.",2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,basic,"The report _____ all aspects of the project, and the team _____ fifty kilometers in one day.",covered; covered,addressed; covered,presented; ran,marked; drew,A,"Cover = đề cập (aspects); cover = đi qua (khoảng cách). Cùng một từ, hai nghĩa khác nhau. B sai vì addressed không có nghĩa đi qua khoảng cách.",2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,basic,"The colors don't _____ the interior design, and the tennis _____ attracted thousands of spectators.",match; match,suit; match,fit; game,stand; event,A,"Match = phù hợp (colors); match = trận đấu (danh từ). A đúng vì cùng từ, hai nghĩa khác. B sai vì 'tennis match' là cụm danh từ, không phải động từ.",2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,"The company _____ the legal documents, and the carpenter used a _____ to smooth the wooden surface.",filed; file,filed; tool,presented; file,marked; duster,A,"Filed = nộp (documents); file = dụng cụ cạo. A đúng vì cùng từ, hai nghĩa khác. B sai vì 'tool' quá chung chung. C sai vì presented không phù hợp.",2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,"The project operates on a large _____, and the fish's _____ protect it from predators.",scale; scales,extent; scales,level; fins,size; skin,A,"Scale = quy mô (project); scales = vảy (fish). A đúng vì cùng từ gốc, hai hình thức khác. B sai vì extent không phù hợp ngữ cảnh 'operates on a large ___'.",2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,basic,"She wore a diamond _____, and the bell's _____ echoed through the empty hall.",ring; ring,band; sound,ring; sound,jewelry; ringing,A,"Ring = nhẫn (danh từ); ring = tiếng chuông (danh từ). A đúng vì cùng từ, hai nghĩa khác. C sai vì 'sound' không cụ thể bằng 'ring'.",2026-06-07T16:33:06.742187+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,intermediate,The economic crisis was compounded by rising unemployment. What does 'compounded' mean in this context?,Made worse or more serious,Divided into smaller parts,Calculated with interest,Mixed together chemically,A,"Trong ngữ cảnh này, 'compounded' là động từ có nghĩa 'làm tăng/trầm trọng thêm'. Các lựa chọn B, C, D là những nghĩa khác của từ này nhưng không phù hợp với bối cảnh kinh tế.",2026-06-07T22:04:23.876461+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,synonym,intermediate,The farmer's yield increased significantly after adopting new techniques. Which word is closest in meaning to 'yield'?,Surrender,Production output,Flexibility,Resistance,B,"'Yield' trong ngữ cảnh nông nghiệp có nghĩa 'sản lượng, năng suất'. Option A (nhượng bộ) là nghĩa khác của từ này nhưng không phù hợp ở đây.",2026-06-07T22:04:23.876461+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,antonym,intermediate,The company refused to implement stricter environmental policies. What is the opposite of 'refused' in this sentence?,Accepted,Ignored,Delayed,Questioned,A,'Refused' (từ chối) có antonym là 'accepted' (chấp nhận). Các lựa chọn khác không phải là đối nghĩa trực tiếp.,2026-06-07T22:04:23.876461+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,fill_blank,intermediate,"The law permits citizens to vote at age eighteen. In this sentence, 'permits' most closely means ___.",Requires,Allows,Encourages,Suggests,B,"'Permits' là động từ có nghĩa 'cho phép, cho phép'. Option B (allows) là đồng nghĩa chính xác nhất. Option A (requires) có nghĩa ngược lại.",2026-06-07T22:04:23.876461+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,advanced,The scientist examined minute details under the microscope. What does 'minute' mean here?,Lasting sixty seconds,Extremely small or tiny,Official meeting notes,Unimportant or trivial,B,"'Minute' (phát âm /ˈmɪnɪt/) khi dùng tính từ có nghĩa 'rất nhỏ, tế nhị'. Đây là một từ nhiều nghĩa dễ gây nhầm lẫn với 'minute' (phút).",2026-06-07T22:04:23.876461+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,advanced,"The emotional film brought tears to viewers' eyes, while the accident caused a tear in the fabric. Which statement is correct?",Both 'tears' have the same pronunciation,The first 'tears' refers to liquid from eyes; the second refers to a rip,Both 'tears' are nouns with identical meanings,The second 'tears' is a verb meaning to damage,B,"'Tear' là từ nhiều nghĩa: /teə/ (nước mắt) và /ter/ (xé rách). Trong câu, 'tears' đầu tiên là danh từ (nước mắt), 'tear' thứ hai là danh từ (vết rách). Đây là bẫy phổ biến trong đề thi.",2026-06-07T22:04:23.876461+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,synonym,intermediate,The road began to wind through the forest. What is the best synonym for 'wind' in this context?,Breeze,Coil,Follow a winding path,Wrap tightly,C,"'Wind' (phát âm /waɪnd/) khi là động từ có nghĩa 'uốn lượn, đi theo đường quanh co'. Option A là danh từ (gió), không phù hợp.",2026-06-07T22:04:23.876461+00:00
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,meaning,advanced,The author continued to polish her manuscript before submission. Which meaning of 'polish' is used here?,To make smooth and shiny,To refine or improve,A substance for shining,Relating to Poland,B,"Trong ngữ cảnh viết lách, 'polish' có nghĩa 'hoàn thiện, cải thiện'. Option A là nghĩa chữ nghĩa nhưng không phù hợp với bối cảnh này.",2026-06-07T22:04:23.876461+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,intermediate,The research findings were _______ because they lacked sufficient data to support the conclusions drawn by the researchers.,incomplete,uncomfortable,inappropriate,unlikely,A,"Incomplete (không đầy đủ) là từ đúng vì câu nói về thiếu dữ liệu. Uncomfortable, inappropriate, unlikely không phù hợp về nghĩa trong ngữ cảnh này.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,meaning,basic,Which word is the opposite of 'honest'?,dishonest,disorganized,disappear,disadvantage,A,Dishonest (không trung thực) là từ trái nghĩa trực tiếp của honest. Các từ khác không liên quan đến tính chất trung thực.,2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,intermediate,The student's _______ attendance made it hard for them to keep up with the course material.,irregular,irrelevant,illogical,immoral,A,"Irregular (không đều) mô tả sự vắng mặt không theo quy tắc. Irrelevant, illogical, immoral không phù hợp với bối cảnh về sự tham dự lớp học.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,intermediate,"The company's _______ practices were exposed by investigative journalists, leading to public outrage.",unethical,uncertain,unfamiliar,unlikely,A,"Unethical (không đạo đức) mô tả các hành động sai trái. Uncertain, unfamiliar, unlikely không phù hợp với ngữ cảnh về hành vi công ty.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,meaning,basic,Which of the following is a synonym for 'impossible'?,unfeasible,uncomfortable,unaware,uncertain,A,Unfeasible (bất khả thi) có nghĩa tương tự impossible (không thể làm được). Các từ khác có nghĩa hoàn toàn khác.,2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,advanced,The argument presented in the essay was _______ because the conclusion did not logically follow from the evidence.,illogical,inappropriate,incomplete,ineffective,A,"Illogical (vô lý) mô tả lập luận không tuân theo logic. Inappropriate, incomplete, ineffective không phù hợp với bối cảnh về sự liên kết logic.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,intermediate,The _______ of public transportation in rural areas is a significant challenge for residents.,disadvantage,disappear,disagree,disorganized,A,"Disadvantage (bất lợi) là danh từ chỉ điều bất lợi. Disappear, disagree là động từ; disorganized là tính từ không phù hợp về nghĩa.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,intermediate,Many students feel _______ when they encounter new academic concepts for the first time.,unfamiliar,uncomfortable,unaware,unlikely,B,"Uncomfortable (khó chịu/không thoải mái) mô tả cảm xúc khi gặp khái niệm mới. Unfamiliar là tính từ nhưng không phù hợp cấu trúc ngữ pháp (feel unfamiliar sai); unaware, unlikely không phù hợp về nghĩa.",2026-06-07T16:47:33.657274+00:00
Tiền Tố Phủ Định,Word Families,02eba3ac-38c6-5016-a643-73e2ad7f5197,word_form,advanced,The _______ information in the report was removed during the editing process to maintain focus on the main topic.,irrelevant,ineffective,immoral,irregular,A,"Irrelevant (không liên quan) mô tả thông tin không liên quan đến chủ đề chính. Ineffective, immoral, irregular không phù hợp với bối cảnh về sự liên quan của thông tin.",2026-06-07T16:47:33.657274+00:00
