set_name,set_topic,set_id,order_index,word,pronunciation,part_of_speech,level,definition_vi,definition_en,synonyms,antonyms,example_sentence
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,0,issue,/ˈɪʃuː/,noun,B1,"Vấn đề, chủ đề tranh cãi; hoặc: phát hành, phát sóng (tài liệu, tiền tệ)",A topic of discussion or concern; or the act of distributing or publishing something officially,"problem, topic, release",solution,The government decided to issue new banknotes to address the currency shortage affecting the economy.
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,1,address,/əˈdres/,verb,B1,"Giải quyết, xử lý (vấn đề); hoặc: nói chuyện với ai, phát biểu trước đám đông",To deal with or discuss a problem; or to speak to an audience formally,"tackle, handle, speak to",ignore,The CEO will address the shareholders' concerns about declining profits in tomorrow's meeting.
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,2,charge,/tʃɑːrdʒ/,verb,B1,"Tính tiền, yêu cầu thanh toán; hoặc: tấn công, lao vào; hoặc: giao trách nhiệm",To ask for payment; to rush forward; or to assign responsibility to someone,"cost, attack, entrust","free, retreat","The hotel charged us an extra fee for late checkout, though we were not charged for breakfast."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,3,conduct,/ˈkɒndʌkt/,verb,B1,"Tiến hành, thực hiện (cuộc điều tra, thí nghiệm); hoặc: chỉ huy (dàn nhạc)",To carry out or manage an activity; or to direct musicians or an orchestra,"perform, manage, direct",,Scientists will conduct a comprehensive study to examine how climate change affects marine ecosystems.
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,4,bear,/ber/,verb,B1,"Chịu đựng, chịu (trách nhiệm, chi phí); hoặc: mang, vác; hoặc: sinh ra",To endure or accept responsibility; to carry; or to give birth to,"endure, carry, produce",abandon,The company must bear the costs of environmental damage caused by its manufacturing processes.
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,5,run,/rʌn/,verb,B1,"Chạy; hoặc: điều hành, quản lý; hoặc: kéo dài, tiếp tục",To move quickly on foot; to manage or operate; or to continue for a period,"operate, manage, extend",stop,"The factory runs three shifts daily to meet production targets, and this schedule will run until next quarter."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,6,strike,/straɪk/,verb,B1,"Đánh, tấn công; hoặc: đình công; hoặc: tìm thấy, phát hiện",To hit or attack; to stop work as a protest; or to discover something valuable,"hit, protest, discover",miss,"Workers decided to strike over wage disputes, while geologists struck oil in the northern region."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,7,bank,/bæŋk/,noun,B1,"Ngân hàng (tài chính); hoặc: bờ sông, bờ biển; hoặc: kho dự trữ",A financial institution; the edge of a river or sea; or a reserve supply,"financial institution, shore, reserve",,"The bank approved the loan application, and the project will be built along the river bank."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,8,light,/laɪt/,adjective,B1,"Sáng, có ánh sáng; hoặc: nhẹ (trọng lượng); hoặc: nhẹ nhàng, không nặng nề",Bright or illuminated; not heavy; or not serious or intense,"bright, lightweight, mild","dark, heavy","The light traffic on the highway made the journey quick, and the light rain did not delay the outdoor event."
Từ Nhiều Nghĩa Trong Đề,Contextual Meaning,01cf6eda-f881-57bd-a8ae-bb8cd82d1c06,9,present,/ˈprezənt/,verb,B1,"Trình bày, giới thiệu; hoặc: tặng, trao; hoặc: xuất hiện",To show or introduce something; to give as a gift; or to appear or exist,"introduce, give, appear",hide,"The researcher will present her findings at the conference, and the results present a new perspective on climate science."
